Station,Zip,Location,ann-tmin-prbfst-t24Fp50.txt,ann-tmin-prbfst-t24Fp60.txt,ann-tmin-prbfst-t24Fp70.txt,ann-tmin-prbfst-t24Fp80.txt,ann-tmin-prbfst-t24Fp90.txt,ann-tmin-prbfst-t28Fp50.txt,ann-tmin-prbfst-t28Fp60.txt,ann-tmin-prbfst-t28Fp70.txt,ann-tmin-prbfst-t28Fp80.txt,ann-tmin-prbfst-t28Fp90.txt,ann-tmin-prbfst-t32Fp50.txt,ann-tmin-prbfst-t32Fp60.txt,ann-tmin-prbfst-t32Fp70.txt,ann-tmin-prbfst-t32Fp80.txt,ann-tmin-prbfst-t32Fp90.txt,ann-tmin-prblst-t24Fp50.txt,ann-tmin-prblst-t24Fp60.txt,ann-tmin-prblst-t24Fp70.txt,ann-tmin-prblst-t24Fp80.txt,ann-tmin-prblst-t24Fp90.txt,ann-tmin-prblst-t28Fp50.txt,ann-tmin-prblst-t28Fp60.txt,ann-tmin-prblst-t28Fp70.txt,ann-tmin-prblst-t28Fp80.txt,ann-tmin-prblst-t28Fp90.txt,ann-tmin-prblst-t32Fp50.txt,ann-tmin-prblst-t32Fp60.txt,ann-tmin-prblst-t32Fp70.txt,ann-tmin-prblst-t32Fp80.txt,ann-tmin-prblst-t32Fp90.txt
USC00010583,36507,Bay Minette,12/21S,12/27S,01/01S,01/07S,01/19S,12/07S,12/11S,12/16S,12/24S,01/02S,11/25S,11/29S,12/02S,12/06S,12/14S,02/04S,01/31S,01/26S,01/16S,01/02S,02/20S,02/16S,02/10S,02/04S,01/27S,03/06S,03/02S,02/27S,02/21S,02/15S
USC00010655,35756,Madison,11/22S,11/27S,12/01S,12/05S,12/13S,11/06S,11/09S,11/13S,11/18S,11/28S,10/26S,10/29S,11/01S,11/05S,11/10S,03/09S,03/05S,02/28S,02/24S,02/17S,03/26S,03/22S,03/17S,03/13S,03/05S,04/07S,04/04S,04/01S,03/28S,03/21S
USC00010764,35023,Bessemer,12/07S,12/11S,12/17S,12/25S,01/02S,11/25S,11/29S,12/02S,12/06S,12/13S,11/09S,11/13S,11/18S,11/23S,11/30S,02/23S,02/19S,02/14S,02/07S,01/31S,03/10S,03/06S,03/01S,02/25S,02/18S,03/28S,03/24S,03/19S,03/15S,03/06S
USC00011080,36426,Brewton,12/10S,12/16S,12/23S,12/31S,01/08S,11/25S,11/30S,12/03S,12/08S,12/18S,11/09S,11/13S,11/18S,11/23S,12/02S,02/15S,02/08S,02/03S,01/30S,01/17S,03/04S,02/28S,02/24S,02/18S,02/09S,03/22S,03/17S,03/12S,03/06S,02/27S
USC00011084,36426,Brewton,12/08R,12/14R,12/22R,12/31R,01/08R,11/23R,11/30R,12/03R,12/07R,12/18R,11/07R,11/11R,11/17R,11/23R,12/01R,02/16R,02/09R,02/03R,01/29R,01/17R,03/06R,03/01R,02/25R,02/18R,02/07R,03/25R,03/20R,03/15R,03/08R,02/27R
USC00011099,35740,Bridgeport,11/28S,12/01S,12/04S,12/08S,12/16S,11/10S,11/15S,11/19S,11/26S,12/02S,10/29S,11/01S,11/04S,11/08S,11/14S,03/10S,03/05S,03/01S,02/24S,02/16S,03/26S,03/22S,03/18S,03/13S,03/04S,04/08S,04/05S,04/02S,03/29S,03/22S
USC00011301,36726,Camden,12/20R,12/26R,12/31R,01/05R,01/16R,12/04R,12/08R,12/13R,12/21R,12/31R,11/20R,11/24R,11/28R,12/02R,12/08R,02/09R,02/03R,01/31R,01/24R,01/11R,02/27R,02/22R,02/17R,02/11R,02/02R,03/13R,03/08R,03/04R,02/28R,02/22R
USC00011620,35044,Childersburg,11/27S,12/01S,12/04S,12/09S,12/19S,11/11S,11/15S,11/19S,11/24S,12/02S,11/01S,11/03S,11/06S,11/09S,11/15S,03/02S,02/26S,02/22S,02/16S,02/07S,03/23S,03/18S,03/14S,03/06S,02/27S,04/05S,04/02S,03/30S,03/25S,03/18S
USC00011694,35045,Clanton,12/07R,12/12R,12/19R,12/26R,01/03R,11/23R,11/28R,12/01R,12/05R,12/14R,11/08R,11/11R,11/16R,11/21R,11/29R,02/23R,02/18R,02/13R,02/06R,01/31R,03/12R,03/07R,03/02R,02/25R,02/19R,03/29R,03/24R,03/19R,03/14R,03/06R
USC00011725,36016,Clayton,12/05R,12/09R,12/15R,12/23R,01/01R,11/22R,11/27R,12/01R,12/05R,12/12R,11/07R,11/11R,11/16R,11/22R,12/01R,02/27R,02/21R,02/16R,02/10R,02/02R,03/14R,03/10R,03/05R,02/28R,02/21R,03/31R,03/27R,03/23R,03/17R,03/09R
USC00011803,36509,Bayou la Batre,12/25R,01/01R,01/05R,01/14R,01/31R,12/10R,12/16R,12/23R,01/01R,01/10R,11/25R,12/01R,12/03R,12/08R,12/21R,01/31R,01/27R,01/17R,01/07R,12/29R,02/19R,02/13R,02/06R,01/31R,01/21R,03/08R,03/03R,02/27R,02/21R,02/13R
USC00012096,35055,Cullman,11/30R,12/02R,12/06R,12/12R,12/21R,11/12R,11/17R,11/22R,11/28R,12/04R,11/01R,11/03R,11/06R,11/10R,11/17R,03/08R,03/03R,02/28R,02/22R,02/15R,03/24R,03/20R,03/16R,03/11R,03/03R,04/06R,04/03R,03/31R,03/27R,03/21R
USC00012172,36528,Dauphin Island,01/03S,01/08S,01/14S,01/21S,01/29S,01/02S,01/07S,01/15S,01/22S,02/01S,12/30S,01/03S,01/09S,01/18S,01/30S,01/08S,01/04S,12/31S,12/27S,12/19S,01/17S,01/10S,01/04S,12/31S,12/21S,01/31S,01/25S,01/18S,01/09S,12/31S
USC00012245,35470,Livingston,12/06R,12/10R,12/16R,12/24R,01/01R,11/24R,11/27R,12/01R,12/04R,12/12R,11/09R,11/13R,11/17R,11/21R,11/27R,02/23R,02/18R,02/13R,02/06R,01/30R,03/08R,03/04R,02/28R,02/24R,02/17R,03/24R,03/20R,03/16R,03/11R,03/04R
USC00012675,36330,Enterprise,12/26R,01/01R,01/05R,01/13R,01/25R,12/11R,12/16R,12/22R,12/30R,01/06R,11/29R,12/02R,12/06R,12/11R,12/21R,02/01R,01/29R,01/23R,01/14R,01/02R,02/19R,02/13R,02/07R,02/01R,01/25R,03/07R,03/02R,02/26R,02/20R,02/11R
USC00012730,36027,Eufaula,12/14R,12/20R,12/27R,01/02R,01/13R,12/01R,12/03R,12/06R,12/12R,12/24R,11/12R,11/17R,11/21R,11/28R,12/04R,02/11R,02/05R,01/31R,01/25R,01/13R,03/02R,02/26R,02/21R,02/15R,02/04R,03/20R,03/16R,03/10R,03/04R,02/25R
USC00012758,36401,Evergreen,12/18R,12/24R,12/31R,01/05R,01/18R,12/03R,12/06R,12/12R,12/20R,01/01R,11/19R,11/22R,11/28R,12/02R,12/08R,02/13R,02/07R,02/01R,01/27R,01/14R,03/02R,02/27R,02/21R,02/15R,02/06R,03/19R,03/15R,03/09R,03/02R,02/24R
